sum,place
138350950.46003616,"Lehigh Acres CDP, Florida"
1004678620.3874025,"Lewisville city, Texas"
1489124101.85387,"Lexington-Fayette urban county, Kentucky"
1044922449.0536977,"Lincoln city, Nebraska"
1977944739.5761087,"Little Rock city, Arkansas"
2075649196.1563962,"Long Beach city, California"
15479589768.39515,"Los Angeles city, California"
2494841207.947848,"Louisville/Jefferson County metro government (balance), Kentucky"
192675492.9270754,"Lowell city, Massachusetts"
1198082166.7310016,"Lubbock city, Texas"
1143752887.557447,"Macon-Bibb County, Georgia"
1105266517.1047542,"Madison city, Wisconsin"
699214132.6734964,"Manchester city, New Hampshire"
396423043.6586627,"McAllen city, Texas"
721022673.5004085,"McKinney city, Texas"
3998761447.431466,"Memphis city, Tennessee"
2284185655.2653904,"Mesa city, Arizona"
1304427138.922437,"Mesquite city, Texas"
560875481.2618171,"Metairie CDP, Louisiana"
421783235.3584573,"Miami Gardens city, Florida"
2167950601.384118,"Miami city, Florida"
762541005.3329456,"Midland city, Texas"
2144152948.132915,"Milwaukee city, Wisconsin"
1633482984.7076163,"Minneapolis city, Minnesota"
481074081.67013216,"Miramar city, Florida"
1376645430.8559391,"Mobile city, Alabama"
277806408.0548579,"Modesto city, California"
1370074654.3449285,"Montgomery city, Alabama"
364409298.1124302,"Moreno Valley city, California"
651640292.3270872,"Murfreesboro city, Tennessee"
695141654.9273514,"Murrieta city, California"
361572674.3596483,"Naperville city, Illinois"
5012771512.298325,"Nashville-Davidson metropolitan government (balance), Tennessee"
325182173.3635165,"New Haven city, Connecticut"
1583489674.1854422,"New Orleans city, Louisiana"
12398815786.742886,"New York city, New York"
1967688232.6053617,"Newark city, New Jersey"
778343321.694209,"Newport News city, Virginia"
1270181870.4538066,"Norfolk city, Virginia"
484436045.56026495,"Norman city, Oklahoma"
1368234801.035178,"North Charleston city, South Carolina"
1039682454.4549572,"North Las Vegas city, Nevada"
777830193.0145097,"Norwalk city, California"
1834895514.247777,"Oakland city, California"
589141842.6625501,"Oceanside city, California"
450594315.0802746,"Odessa city, Texas"
4919958712.062193,"Oklahoma City city, Oklahoma"
606883330.2413023,"Olathe city, Kansas"
2691134343.326862,"Omaha city, Nebraska"
1085265879.6097543,"Ontario city, California"
453888283.1163116,"Orange city, California"
2246817727.0413914,"Orlando city, Florida"
858238940.4238203,"Overland Park city, Kansas"
287229022.8926728,"Oxnard city, California"
322857662.0597139,"Palm Bay city, Florida"
339918393.0319592,"Palmdale city, California"
1288933881.778812,"Paradise CDP, Nevada"
962095414.982133,"Pasadena city, California"
422136409.9951518,"Pasadena city, Texas"
314820741.63004833,"Paterson city, New Jersey"
239147775.90620214,"Pearland city, Texas"
428112650.3224973,"Pembroke Pines city, Florida"
562069916.1557965,"Peoria city, Arizona"
395964943.80595326,"Peoria city, Illinois"
3432658218.1599627,"Philadelphia city, Pennsylvania"
8268716246.347871,"Phoenix city, Arizona"
1119248877.919713,"Pittsburgh city, Pennsylvania"
1178864164.0273466,"Plano city, Texas"
876327384.9094175,"Pomona city, California"
720658635.7728385,"Pompano Beach city, Florida"
657734692.8012981,"Port St. Lucie city, Florida"
2881256478.440832,"Portland city, Oregon"
467902145.47035795,"Providence city, Rhode Island"
305884119.5470686,"Provo city, Utah"
529356449.83473694,"Pueblo city, Colorado"
2548727562.3696694,"Raleigh city, North Carolina"
488326983.12911946,"Rancho Cucamonga city, California"
1293657562.581341,"Reno city, Nevada"
234266415.7753626,"Rialto city, California"
827189170.3345912,"Richardson city, Texas"
917562875.8341137,"Richmond city, California"
1136656408.646982,"Richmond city, Virginia"
1233056037.7847998,"Riverside city, California"
411724612.85497963,"Rochester city, Minnesota"
576601747.0948915,"Rochester city, New York"
362949831.34335595,"Rockford city, Illinois"
296785177.38377535,"Roseville city, California"
764690878.8183233,"Round Rock city, Texas"
3361431350.8955503,"Sacramento city, California"
823228442.012382,"Salem city, Oregon"
262350057.83949,"Salinas city, California"
1539223519.5259805,"Salt Lake City city, Utah"
10579392236.97004,"San Antonio city, Texas"
1217133024.693867,"San Bernardino city, California"
730653723.1550251,"San Buenaventura (Ventura) city, California"
7552113677.353414,"San Diego city, California"
1113066901.2603903,"San Francisco city, California"
2765253848.132378,"San Jose city, California"
348695994.15700346,"San Mateo city, California"
723223609.2964791,"Sandy Springs city, Georgia"
907780400.7711612,"Santa Ana city, California"
155509182.40197715,"Santa Clara city, California"
823774041.7208351,"Santa Clarita city, California"
93754169.48483467,"Santa Maria city, California"
501431168.7658454,"Santa Rosa city, California"
1068109792.3733428,"Savannah city, Georgia"
509571300.08641005,"Scottsdale city, Arizona"
2132781001.7727015,"Seattle city, Washington"
1059814439.2464252,"Shreveport city, Louisiana"
567216314.007963,"Simi Valley city, California"
835627720.6219147,"Sioux Falls city, South Dakota"
345559333.3403862,"South Bend city, Indiana"
649580534.4592983,"Spokane city, Washington"
224468620.57894757,"Spring Hill CDP, Florida"
328763934.36271423,"Spring Valley CDP, Nevada"
620790548.9672649,"Springfield city, Illinois"
337030537.83778614,"Springfield city, Massachusetts"
884659363.1398964,"Springfield city, Missouri"
1530848910.7705538,"St. Louis city, Missouri"
1184188225.9209704,"St. Paul city, Minnesota"
1431597492.4159403,"St. Petersburg city, Florida"
249488546.45629957,"Stamford city, Connecticut"
163879621.0734796,"Sterling Heights city, Michigan"
907245061.266759,"Stockton city, California"
326925759.43453723,"Sunnyvale city, California"
475367187.1562417,"Sunrise Manor CDP, Nevada"
503472191.78437966,"Surprise city, Arizona"
418065989.22058666,"Syracuse city, New York"
1149174002.7057047,"Tacoma city, Washington"
570402867.760089,"Tallahassee city, Florida"
2203028018.5887074,"Tampa city, Florida"
599725221.3779385,"Temecula city, California"
1543010244.127517,"Tempe city, Arizona"
220349734.75006074,"The Woodlands CDP, Texas"
267863307.94002002,"Thornton city, Colorado"
845308463.8381202,"Thousand Oaks city, California"
808067399.0376376,"Toledo city, Ohio"
523729876.0797963,"Topeka city, Kansas"
425749681.66504925,"Torrance city, California"
1611557754.0177095,"Tucson city, Arizona"
3335229904.780435,"Tulsa city, Oklahoma"
382080035.2886438,"Tyler city, Texas"
402487006.95353085,"Vallejo city, California"
774910276.7231351,"Vancouver city, Washington"
804111510.0064877,"Victorville city, California"
1239520712.261292,"Virginia Beach city, Virginia"
275152004.2388453,"Visalia city, California"
702011857.2936159,"Waco city, Texas"
594677206.430606,"Warren city, Michigan"
345007119.8114495,"Waterbury city, Connecticut"
493037729.4413641,"West Covina city, California"
147943856.35351336,"West Jordan city, Utah"
919833682.2633778,"West Palm Beach city, Florida"
359400642.1973326,"West Valley City city, Utah"
371477451.08702564,"Westminster city, Colorado"
508148031.6182487,"Wichita Falls city, Texas"
1545183238.3004942,"Wichita city, Kansas"
142304549.2610512,"Wilmington city, North Carolina"
1480110741.0870552,"Winston-Salem city, North Carolina"
560964737.802908,"Worcester city, Massachusetts"
781740449.6441001,"Yonkers city, New York"
